,name,company,year,Price,kms_driven,fuel_type
0,Captiva Chevrolet,Chevrolet,2008,240000000,62000,Xăng
1,EcoSport Ford,Ford,2019,439000000,30000,Xăng
2,Spark Chevrolet,Chevrolet,2012,79000000,122222,Xăng
3,Accent Hyundai,Hyundai,2020,445000000,20000,Xăng
4,Sunny Nissan,Nissan,1992,36000000,150000,Xăng
5,Innova Toyota,Toyota,2017,462000000,76000,Xăng
6,Everest Ford,Ford,2005,118000000,50000,Xăng
7,Magnus Daewoo,Daewoo,2003,100000000,9999,Xăng
8,Ranger Ford,Ford,2016,455000000,80000,Dầu
9,Morning Kia,Kia,2011,185000000,102,Xăng
10,Fadil Vinfast,Vinfast,2020,338000000,35000,Xăng
11,CX 5 Mazda,Mazda,2014,489000000,898989,Xăng
12,Ranger Ford,Ford,2017,485000000,48000,Dầu
13,Sedona Kia,Kia,2017,735000000,80000,Dầu
14,Vios Toyota,Toyota,2013,193000000,90000,Xăng
15,BT 50 Mazda,Mazda,2016,455000000,680000,Dầu
16,Accord Honda,Honda,2020,950000000,20000,Xăng
17,Fadil Vinfast,Vinfast,2022,325000000,30000,Xăng
18,Fortuner Toyota,Toyota,2008,278000000,100000,Xăng
19,3 Mazda,Mazda,2016,449000000,58000,Xăng
20,Corolla Cross Toyota,Toyota,2022,895000000,12000,Xăng
21,Spark Chevrolet,Chevrolet,2009,87000000,5868,Xăng
22,Morning Kia,Kia,2015,246000000,6,Xăng
23,Panamera Porsche,Porsche,2011,1840000000,27000,Xăng
24,Cruze Chevrolet,Chevrolet,2014,250000000,112000,Xăng
25,Grand i10 Hyundai,Hyundai,2018,326000000,40000,Xăng
26,Carens Kia,Kia,2014,248000000,122000,Xăng
27,Kona Hyundai,Hyundai,2018,538000000,37000,Xăng
28,5 Series BMW,BMW,2016,789000000,43000,Xăng
29,Yaris Toyota,Toyota,2011,319000000,100000,Xăng
30,Sedona Kia,Kia,2018,899000000,68000,Dầu
31,C Class Mercedes Benz,Mercedes Benz,2020,1200000000,27000,Xăng
32,Fortuner Toyota,Toyota,2016,609000000,70000,Dầu
33,Hiace Toyota,Toyota,2007,140000000,100000,Dầu
34,Focus Ford,Ford,2011,205000000,130000,Xăng
35,Hiace Toyota,Toyota,2011,355000000,175000,Dầu
36,City Honda,Honda,2013,245000000,11600,Xăng
37,Mondeo Ford,Ford,2003,115000000,130,Xăng
38,Transit Ford,Ford,2021,720000000,19455,Dầu
39,Macan Porsche,Porsche,2022,3850000000,2000,Xăng
40,Sorento Kia,Kia,2017,650000000,120000,Dầu
41,Xpander Cross Mitsubishi,Mitsubishi,2021,609000000,15000,Xăng
42,Camry Toyota,Toyota,2013,498000000,82000,Xăng
43,Sonet Kia,Kia,2021,580000000,170000,Xăng
