,Price,company,name,year,kms_driven,transmission,fuel_type
1,240.000.000 đ,Chevrolet,Captiva,2008.0,62000.0,Tự động,Xăng
2,439.000.000 đ,Ford,EcoSport,2019.0,30000.0,Tự động,Xăng
3,79.000.000 đ,Chevrolet,Spark,2012.0,122222.0,Số sàn,Xăng
4,445.000.000 đ,Hyundai,Accent,2020.0,20000.0,Tự động,Xăng
5,36.000.000 đ,Nissan,Sunny,1992.0,150000.0,Số sàn,Xăng
6,462.000.000 đ,Toyota,Innova,2017.0,76000.0,Số sàn,Xăng
7,118.000.000 đ,Ford,Everest,2005.0,50000.0,Số sàn,Xăng
8,100.000.000 đ,Daewoo,Magnus,2003.0,9999.0,Số sàn,Xăng
9,455.000.000 đ,Ford,Ranger,2016.0,80000.0,Tự động,Dầu
10,185.000.000 đ,Kia,Morning,2011.0,102.0,Tự động,Xăng
11,338.000.000 đ,Vinfast,Fadil,2020.0,35000.0,Tự động,Xăng
12,489.000.000 đ,Mazda,CX 5,2014.0,898989.0,Tự động,Xăng
13,485.000.000 đ,Ford,Ranger,2017.0,48000.0,Tự động,Dầu
14,735.000.000 đ,Kia,Sedona,2017.0,80000.0,Tự động,Dầu
15,193.000.000 đ,Toyota,Vios,2013.0,90000.0,Số sàn,Xăng
16,455.000.000 đ,Mazda,BT 50,2016.0,680000.0,Số sàn,Dầu
17,950.000.000 đ,Honda,Accord,2020.0,20000.0,Tự động,Xăng
18,325.000.000 đ,Vinfast,Fadil,2022.0,30000.0,Tự động,Xăng
19,278.000.000 đ,Toyota,Fortuner,2008.0,100000.0,Tự động,Xăng
20,449.000.000 đ,Mazda,3,2016.0,58000.0,Tự động,Xăng
21,895.000.000 đ,Toyota,Corolla Cross,2022.0,12000.0,Tự động,Xăng
22,87.000.000 đ,Chevrolet,Spark,2009.0,5868.0,Số sàn,Xăng
23,246.000.000 đ,Kia,Morning,2015.0,6.0,Tự động,Xăng
24,1.840.000.000 đ,Porsche,Panamera,2011.0,27000.0,Tự động,Xăng
25,250.000.000 đ,Chevrolet,Cruze,2014.0,112000.0,Số sàn,Xăng
26,326.000.000 đ,Hyundai,Grand i10,2018.0,40000.0,Tự động,Xăng
27,248.000.000 đ,Kia,Carens,2014.0,122000.0,Tự động,Xăng
29,538.000.000 đ,Hyundai,Kona,2018.0,37000.0,Tự động,Xăng
30,789.000.000 đ,BMW,5 Series,2016.0,43000.0,Tự động,Xăng
31,319.000.000 đ,Toyota,Yaris,2011.0,100000.0,Tự động,Xăng
32,899.000.000 đ,Kia,Sedona,2018.0,68000.0,Tự động,Dầu
33,1.200.000.000 đ,Mercedes Benz,C Class,2020.0,27000.0,Tự động,Xăng
34,609.000.000 đ,Toyota,Fortuner,2016.0,70000.0,Số sàn,Dầu
35,140.000.000 đ,Toyota,Hiace,2007.0,100000.0,Số sàn,Dầu
36,205.000.000 đ,Ford,Focus,2011.0,130000.0,Số sàn,Xăng
37,355.000.000 đ,Toyota,Hiace,2011.0,175000.0,Số sàn,Dầu
38,245.000.000 đ,Honda,City,2013.0,11600.0,Số sàn,Xăng
39,115.000.000 đ,Ford,Mondeo,2003.0,130.0,Tự động,Xăng
40,720.000.000 đ,Ford,Transit,2021.0,19455.0,Số sàn,Dầu
41,3.850.000.000 đ,Porsche,Macan,2022.0,2000.0,Tự động,Xăng
42,650.000.000 đ,Kia,Sorento,2017.0,120000.0,Tự động,Dầu
43,609.000.000 đ,Mitsubishi,Xpander Cross,2021.0,15000.0,Tự động,Xăng
44,498.000.000 đ,Toyota,Camry,2013.0,82000.0,Tự động,Xăng
45,580.000.000 đ,Kia,Sonet,2021.0,170000.0,Tự động,Xăng
