Price,company,Field2_links,name,Field3_links,year,kms_driven,Field6,transmission,fuel_type,Field9,Field10,Field11,Field12,Field13,Field14
35.000.000 đ,Suzuki,https://xe.chotot.com/mua-ban-oto-suzuki-sdcb22,Dòng khác,https://xe.chotot.com/mua-ban-oto-suzuki-dong-khac-sdcb22cm611,2000,200000,Đã sử dụng,Số sàn,Xăng,Việt Nam,7,Bảo hành hãng,> 1 tấn,> 2 tấn,
240.000.000 đ,Chevrolet,https://xe.chotot.com/mua-ban-oto-chevrolet-sdcb4,Captiva,https://xe.chotot.com/mua-ban-oto-chevrolet-captiva-sdcb4cm158,2008,62000,Đã sử dụng,Tự động,Xăng,Mỹ,SUV / Cross over,7,Bảo hành hãng,> 1 tấn,> 2 tấn
439.000.000 đ,Ford,https://xe.chotot.com/mua-ban-oto-ford-sdcb3,EcoSport,https://xe.chotot.com/mua-ban-oto-ford-ecosport-sdcb3cm120,2019,30000,Đã sử dụng,Tự động,Xăng,Thái Lan,SUV / Cross over,5,Bảo hành hãng,> 1 tấn,> 2 tấn
79.000.000 đ,Chevrolet,https://xe.chotot.com/mua-ban-oto-chevrolet-sdcb4,Spark,https://xe.chotot.com/mua-ban-oto-chevrolet-spark-sdcb4cm179,2012,122222,Đã sử dụng,Số sàn,Xăng,Hatchback,5,Đang cập nhật,Bảo hành hãng,> 1 tấn,> 2 tấn
445.000.000 đ,Hyundai,https://xe.chotot.com/mua-ban-oto-hyundai-sdcb5,Accent,https://xe.chotot.com/mua-ban-oto-hyundai-accent-sdcb5cm187,2020,20000,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5,Bảo hành hãng,> 1 tấn,> 2 tấn
36.000.000 đ,Nissan,https://xe.chotot.com/mua-ban-oto-nissan-sdcb19,Sunny,https://xe.chotot.com/mua-ban-oto-nissan-sunny-sdcb19cm555,1992,150000,Đã sử dụng,Số sàn,Xăng,Nhật Bản,Sedan,4,Bảo hành hãng,> 1 tấn,> 2 tấn
462.000.000 đ,Toyota,https://xe.chotot.com/mua-ban-oto-toyota-sdcb2,Innova,https://xe.chotot.com/mua-ban-oto-toyota-innova-sdcb2cm71,2017,76000,Đã sử dụng,Số sàn,Xăng,Việt Nam,Minivan (MPV),8,Bảo hành hãng,> 1 tấn,> 2 tấn
118.000.000 đ,Ford,https://xe.chotot.com/mua-ban-oto-ford-sdcb3,Everest,https://xe.chotot.com/mua-ban-oto-ford-everest-sdcb3cm125,2005,50000,Đã sử dụng,Số sàn,Xăng,Mỹ,SUV / Cross over,7,Bảo hành hãng,> 1 tấn,> 2 tấn
100.000.000 đ,Daewoo,https://xe.chotot.com/mua-ban-oto-daewoo-sdcb10,Magnus,https://xe.chotot.com/mua-ban-oto-daewoo-magnus-sdcb10cm360,2003,9999,Đã sử dụng,Số sàn,Xăng,Hàn Quốc,Sedan,5,Bảo hành hãng,> 1 tấn,> 2 tấn
455.000.000 đ,Ford,https://xe.chotot.com/mua-ban-oto-ford-sdcb3,Ranger,https://xe.chotot.com/mua-ban-oto-ford-ranger-sdcb3cm145,2016,80000,Đã sử dụng,Tự động,Dầu,Thái Lan,Pick-up (bán tải),5,Bảo hành hãng,> 1 tấn,> 2 tấn
185.000.000 đ,Kia,https://xe.chotot.com/mua-ban-oto-kia-sdcb1,Morning,https://xe.chotot.com/mua-ban-oto-kia-morning-sdcb1cm21,2011,102,Đã sử dụng,Tự động,Xăng,Hatchback,5,Đang cập nhật,Bảo hành hãng,> 1 tấn,> 2 tấn
338.000.000 đ,Vinfast,https://xe.chotot.com/mua-ban-oto-vinfast-sdcb80,Fadil,https://xe.chotot.com/mua-ban-oto-vinfast-fadil-sdcb80cm1082,2020,35000,Đã sử dụng,Tự động,Xăng,Việt Nam,Hatchback,5,Bảo hành hãng,> 1 tấn,> 2 tấn
